NAME,LONGDD,LATDD
CASTLEFORESTSTATION,37.3,-0.38
CASTLEHILL,37.3,-0.18
CENTRALMOLOFEEDERROAD,35.68,-0.28
CENTRALSOTIKLOCATION,35.08,-0.75
CHABERRE,35.47,-0.43
CHABICH,38.12,1.77
CHABICHA,39.43,2.65
CHACHU,38.85,3.3
CHAFA,37.23,3.05
CHAGENDASUBLOCATION,34.07,0.07
CHACANI,39.45,-2.7
CHAKEHOGA,38.73,3.03
CHAKOLE,34.15,0.52
CHAKOL,34.18,0.05
CHALA,39.62,-3.75
CHALALAKA,39.45,3.35
CHALANI,39.63,-3.75
CHALANI,39.68,-3.65
CHALBIDESERT,37.03,3.32
CHAMARUBIA,39.05,-1.1
CHAMARUNGOISLANDS,34.23,-0.43
CHAMICH,39.58,2.05
CHAMKOMBE,34.47,-1.03
CHAMU LAGA,39.48,2.9
CHAMWANAMUMA,40.3,-2.52
CHANANI,40.05,-1.55
CHANGAMWE,39.63,-4.02
CHANGANA,35.27,-0.45
CHANGANAESTATE,35.3,-0.43
CHANGARA,34.42,0.75
CHANGARASUBLOCATION,34.42,0.75
CHANGOITEAFACTORY,35.22,-0.48
CHANGOMBE,39.6,-3.92
CHANGOMBESUBLOCATION,39.6,-3.92
CHANIA,36.13,-0.13
CHANYIGI,38.85,-0.1
CHANZEYWE,34.07,0.03
CHAPCHAPLOCATION,35.92,0.48
CHAPTALAL,35.38,-0.62
CHAPTALALSUBLOCATION,35.37,-0.62
CHAPULO,37.7,1.98
CHARAA,36.95,2.08
CHARPORELANE,36.73,-1.02
CHASIMBA,39.7,-3.73
CHASIMBA,39.68,-3.73
CHAURINGOSUBLOCATION,39.63,-3.88
CHAVAVO,34.07,0.02
CHAWACHI,35.75,-0.35
CHEBAKUNDI,35.65,-0.65
CHEBANGANG,35.28,-0.55
CHEBANGANG,35.28,-0.53
CHEBANGO,35.22,-0.72
CHEBARAN,35.98,0.43
CHEBARSIATSUBLOCATION,35.9,0.6
CHEBARTIGONFOREST,35.75,0.53
CHEBCHUK,36.2,0.08
CHEBEREN,35.77,0.4
CHEBIRBEI,36.18,0.45
CHEBISAT,35.87,0.37
CHEBOIN,35.35,-0.82
CHEBOIN,35.38,-0.8
CHEBOLE,35.22,-0.72
CHEBONGE,35.1,-0.07
CHEBOROR,36.12,-0.52
CHEBUGONDAM,35.13,-0.93
CHEBUNGUS,36.02,0.87
CHEBUNYO,35.18,-0.97
CHEBUSI,34.4,0.75
CHEBUSYENYA,34.42,0.08
CHEBWAI,34.08,0.05
CHECHEPOLE,40.62,3.02
CHEGISAN,35.9,0.43
CHEHE,37.22,-0.42
CHEHE,37.22,-0.4
CHEIMEN,35.2,-0.53
CHELEGET,35.28,-0.98
